listing_id,total_reviews,sentiment_positive_ratio,sentiment_neutral_ratio,sentiment_negative_ratio,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,average_sentiment_score,total_positive_reviews,intelligent_score
556576709306422313,45,0.9777777777777777,0.022222222222222223,0,44,1,0,0.755728889,44,0.9133853333333334
556942182005457042,15,1,0,0,15,0,0,0.7909266666666669,15,0.937278
557355126587743933,17,0.9411764705882353,0,0.058823529411764705,16,0,1,0.7944647058823529,16,0.903045294
566059919402290426,40,0.9,0.05,0.05,36,2,2,0.736995,36,0.8610985
571220222834160491,131,0.8854961832061069,0.06870229,0.045801527,116,9,6,0.6869862595419846,116,0.8373935877862594
571227716563941159,103,0.9029126213592233,0.067961165,0.029126214,93,7,3,0.683233981,93,0.8467177669902911
573658232825656660,39,1,0,0,39,0,0,0.8864487179487178,39,0.9659346153846152
575994627253005161,1,1,0,0,1,0,0,0.6239,0,
577455531257975348,68,0.9558823529411765,0.044117647,0,65,3,0,0.7865264705882353,65,0.9094873529411764
586762160059809038,112,0.9464285714285714,0.044642857142857144,0.008928571,106,5,1,0.7975857142857142,106,0.9071328571428571
587520815553224501,221,0.9864253393665159,0.004524887,0.009049774,218,1,2,0.8557113122171945,218,0.9485685972850678
587845673562461658,61,0.9180327868852459,0.049180328,0.032786885,56,3,2,0.6946819672131146,56,0.859224262
590820132666649161,31,0.8064516129032258,0.096774194,0.096774194,25,3,3,0.594809677,25,0.762313871
602097623616765363,56,1,0,0,56,0,0,0.9432625,56,0.9829787499999999
603800728818362850,90,0.9777777777777777,0,0.022222222222222223,88,0,2,0.8139444444444446,88,0.9308500000000001
604427277295109451,159,0.9874213836477987,0.012578616352201259,0,157,2,0,0.8240345911949686,157,0.9396632075471697
605575983362897062,73,0.95890411,0.04109589,0,70,3,0,0.8323575342465754,70,0.9250497260273972
608186059855879377,52,1,0,0,52,0,0,0.8333442307692308,52,0.9500032692307692
608652320129406753,22,0.9545454545454546,0.045454545454545456,0,21,1,0,0.8423545454545455,21,0.9254336363636363
610847936865377737,70,0.9714285714285714,0.014285714285714285,0.014285714285714285,68,1,1,0.8666971428571427,68,0.9428662857142857
613790951471234756,17,1,0,0,17,0,0,0.8661235294117647,17,0.9598370588235293
614217596620945356,18,0.9444444444444444,0.055555556,0,17,1,0,0.6489277777777778,17,0.8613449999999999
614696808440934104,17,0.8235294117647058,0.17647058823529413,0,14,3,0,0.6368529411764706,14,0.7851735294117647
614980486842969357,70,1,0,0,70,0,0,0.8535828571428571,70,0.9560748571428571
618847165980337891,11,0.9090909090909091,0.090909091,0,10,1,0,0.5977,10,0.8247645454545454
620434598681838757,17,0.9411764705882353,0.058823529411764705,0,16,1,0,0.7248647058823529,16,0.882165294
620434711077461026,70,0.9714285714285714,0.028571429,0,68,2,0,0.8333042857142856,68,0.9328484285714285
622536984921134649,45,0.9111111111111111,0.088888889,0,41,4,0,0.6803000000000001,41,0.8507566666666666
